Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,791,0,3,3.543131731984791,2.235999999982141,48.81149999999934,8688.0,3.3202780453932377,0.0,3,3,3,4,4,4,5,24,49,49,49
GET,/,1560,0,3,3.150419999999845,2.003599999994776,74.95680000000004,8688.0,6.529093872748663,0.0,3,3,3,3,4,4,5,17,62,75,75
GET,/,2394,0,3,3.2066000417707823,1.9891000000029635,48.79389999999262,8688.0,10.044065375914252,0.0,3,3,3,3,4,4,6,17,23,49,49
GET,/,3165,0,3,3.3377205371247136,1.979499999976042,62.33809999999984,8688.0,13.217947699789946,0.0,3,3,3,4,4,5,6,17,49,62,62
GET,/,3988,0,3,3.2976566449346256,1.9906999999932395,52.06379999999999,8688.0,16.65444423133472,0.0,3,3,3,3,4,4,6,16,51,52,52
GET,/,4785,0,3,3.364128505747208,1.9907999999873027,81.72100000001592,8688.0,19.99861769629169,0.0,3,3,4,4,4,5,6,18,49,82,82
GET,/,5568,0,3,3.2212538613506227,1.8543000000050824,48.72310000001789,8688.0,23.26014197346055,0.0,3,3,3,3,4,5,6,16,44,49,49
GET,/,6309,0,3,3.3843465683943923,2.0327999999949498,87.48620000000074,8688.0,26.35535034255623,0.0,3,3,3,4,4,5,7,16,49,87,87
GET,/,7040,0,3,3.312673423295307,1.8329000000107956,60.54640000000156,8688.0,29.413158253128216,0.0,3,3,3,4,4,5,7,15,49,61,61
GET,/,7819,0,3,3.4230134416165847,1.772199999997781,115.1118000000011,8688.0,32.661790406196126,0.0,3,3,4,4,4,5,7,17,49,120,120
GET,/,8611,0,3,3.433604598768908,1.7212999999856038,63.42880000000051,8688.0,35.96087960617023,0.0,3,3,4,4,4,5,7,16,49,63,63
GET,/,9341,0,3,3.40687781822074,1.8057000000055723,65.12460000000075,8688.0,39.01420103405345,0.0,3,3,4,4,4,5,7,17,48,65,65
GET,/,10095,0,3,3.5898554730064136,1.7565999999931137,103.73430000001348,8688.0,42.15771149358947,0.0,3,3,4,4,4,5,9,18,49,77,100
GET,/,10919,0,3,3.550396492352801,1.85450000000742,61.48209999999921,8688.0,45.60846370200149,0.0,3,3,4,4,4,5,8,18,49,60,61
GET,/,11733,0,3,3.6577133725390727,1.815999999990936,106.78430000000104,8688.0,49.00533859667933,0.0,3,3,4,4,4,5,9,17,66,110,110
GET,/,12311,0,3,3.643295808626428,1.840900000004808,87.09110000000919,8688.0,51.452739217471,0.0,3,4,4,4,5,5,10,18,49,86,87
GET,/,13200,0,3,3.676012583333335,1.620699999989483,128.7319999999852,8688.0,55.13149636252529,0.0,3,3,4,4,5,5,10,18,53,84,130
GET,/,13948,0,3,3.730054165471628,1.7557999999837648,107.42150000000096,8688.0,58.24680518767386,0.0,3,4,4,4,5,5,9,18,49,66,110
GET,/,14724,0,3,3.7819434256994695,1.8490000000213056,113.92610000000047,8688.0,61.483604090221945,0.0,3,4,4,4,5,6,9,18,61,110,110
GET,/,15338,0,3,3.789267505541828,1.7939999999967426,72.67129999999611,8688.0,64.29015626611242,0.0,3,4,4,4,5,6,10,18,49,72,73
GET,/,16172,0,3,3.8887605367300857,1.8473999999741864,115.77159999998798,8688.0,67.53573138278931,0.0,3,4,4,4,5,6,12,18,56,110,120
GET,/,16733,0,3,3.865448718102008,1.8382000000016772,79.45229999999981,8688.0,70.10683655556096,0.0,3,4,4,4,5,6,11,17,49,76,79
GET,/,17609,0,3,3.929175109319071,1.7210000000034142,103.04849999999988,8688.0,73.5292317777774,0.0,3,4,4,4,5,6,11,18,61,100,100
GET,/,18232,0,3,4.0130624780606166,1.7831999999771142,99.45100000001617,8688.0,76.14358684420392,0.0,3,4,4,4,5,6,13,19,62,99,99
GET,/,19089,0,3,4.13593462203359,1.734599999991815,204.1284999999995,8688.0,79.71952191834215,0.0,3,4,4,4,5,6,13,19,120,200,200
GET,/,19817,0,3,4.0510365292425226,1.749600000010787,150.97359999998616,8688.0,82.7931444822533,0.0,3,4,4,4,5,6,12,18,63,150,150
GET,/,20441,0,3,4.052197387603241,1.8263999999987848,115.29709999999938,8688.0,85.35833535678614,0.0,3,4,4,5,5,6,12,18,62,110,120
GET,/,21209,0,3,4.100369753406425,1.844099999999571,98.2682000000068,8688.0,88.60186291593115,0.0,3,4,4,5,5,6,13,18,54,80,98
GET,/,21954,0,3,4.160186407943789,1.778400000006286,112.93169999999007,8688.0,91.69201375338533,0.0,3,4,4,5,5,6,13,20,54,98,110
GET,/,22628,0,3,4.305896619232881,1.7442999999985886,189.3057000000056,8688.0,94.50989333859512,0.0,3,4,4,5,6,7,15,19,64,170,190
GET,/,23052,0,3,4.246234855977672,1.795399999991787,128.34559999998874,8688.0,97.07642956565172,0.0,3,4,4,5,6,7,14,19,71,120,130
GET,/,23843,0,4,4.380809197668048,1.7183000000215998,105.8938999999981,8688.0,99.62737070801836,0.0,4,4,4,5,6,7,15,23,93,110,110
GET,/,24594,0,4,4.32838386191764,1.7395000000135497,138.70940000001042,8688.0,102.74455845627828,0.0,4,4,5,5,6,7,14,20,73,110,140
GET,/,25320,0,4,4.488680221168996,1.8445999999983087,176.76289999999997,8688.0,105.76418726322802,0.0,4,4,5,5,6,7,16,25,86,120,180
GET,/,26117,0,4,4.463456733162475,1.8356000000068209,190.57799999998792,8688.0,109.06967383322169,0.0,4,4,5,5,6,7,15,23,80,160,190
GET,/,26747,0,4,4.517358918757296,1.6552999999817075,106.77090000000078,8688.0,111.71337266251756,0.0,4,4,5,5,6,7,15,23,74,110,110
GET,/,27341,0,4,4.522289802860086,1.60900000000197,108.35199999999644,8688.0,114.29793467831584,0.0,4,4,5,5,6,7,15,23,70,110,110
GET,/,28097,0,4,4.574251535751106,1.6887000000167518,118.15260000000194,8688.0,117.47927823009988,0.0,4,4,5,5,6,7,16,23,64,120,120
GET,/,28775,0,4,4.654079961772407,1.717100000000471,182.71519999998984,8688.0,120.25730233233692,0.0,4,4,5,5,6,7,17,27,97,150,180
GET,/,29337,0,4,4.619092016907035,1.7473999999992884,108.60320000000456,8688.0,122.68180051758776,0.0,4,4,5,5,6,8,16,27,64,100,110
GET,/,30070,0,4,4.649053116062605,1.7469000000005508,126.0746000000097,8688.0,125.69342669353662,0.0,4,4,5,5,6,8,16,27,64,110,130
GET,/,30824,0,4,4.768059998702288,1.7234999999971023,243.5643999999968,8688.0,128.8488386722082,0.0,4,4,5,5,6,7,16,28,110,200,240
GET,/,31312,0,4,4.959871985181488,1.796500000011747,179.84750000000105,8688.0,130.9379008523019,0.0,4,4,5,5,6,8,17,46,97,160,180
GET,/,32039,0,4,4.906778647897924,1.5924000000069327,178.40329999999938,8688.0,133.99550305570096,0.0,4,4,5,5,6,8,17,40,99,150,180
GET,/,32605,0,4,4.812048474160462,1.6780999999923552,114.4127000000026,8688.0,136.30724314684292,0.0,4,4,5,5,6,8,17,33,77,100,110
GET,/,33441,0,4,5.094550103166728,1.7935999999991736,219.45789999999832,8688.0,139.83363797920052,0.0,4,5,5,5,7,8,18,42,110,210,220
GET,/,34089,0,4,5.245543600574984,1.7437999999856402,269.814800000006,8688.0,142.52924178301836,0.0,4,5,5,5,6,8,18,47,160,230,270
GET,/,34618,0,4,5.073365029753323,1.6403999999994312,130.25470000000894,8688.0,144.7801577235295,0.0,4,5,5,5,7,9,19,45,81,120,130
GET,/,35430,0,4,5.527001143099043,1.8074999999839747,199.623399999993,8688.0,148.2014984974916,0.0,4,5,5,6,7,9,24,48,130,180,200
GET,/,35860,0,4,5.426754785276067,1.606999999999914,217.38390000000152,8688.0,150.11945399210646,0.0,4,5,5,6,7,9,21,48,110,210,220
GET,/,36573,0,4,5.758712388920755,1.7336999999884029,274.3717000000032,8688.0,153.04721101045712,0.0,4,5,5,6,7,10,26,50,160,200,270
GET,/,37239,0,4,5.653189892317206,1.5927000000033331,178.61890000000358,8688.0,155.75041069864832,0.0,4,5,5,6,7,10,26,48,120,160,180
GET,/,37708,0,4,5.579498117110422,1.720800000001077,177.17389999999966,8688.0,157.6928464323771,0.0,4,5,5,6,7,11,26,48,110,150,180
GET,/,38453,0,4,5.65659349075492,1.7358999999999014,192.1949999999981,8688.0,160.80317736532277,0.0,4,5,5,6,7,11,23,48,120,160,190
GET,/,39046,0,4,5.877464856835482,1.5951999999970212,174.6714999999881,8688.0,163.37105751709612,0.0,4,5,5,6,7,13,31,49,110,140,170
GET,/,39569,0,4,6.236684005155499,1.718299999993178,253.438100000011,8688.0,165.40811852697306,0.0,4,5,6,6,8,15,38,58,150,250,250
GET,/,40293,0,4,6.479186076986055,1.568100000014283,244.5412999999945,8688.0,168.37930737441727,0.0,4,5,6,6,8,15,45,65,150,210,240
GET,/,40913,0,4,6.670215950920285,1.6721000000075037,264.6950999999831,8688.0,170.90420408848777,0.0,4,5,6,6,8,16,46,63,170,240,260
GET,/,41455,0,4,6.7249449740682765,1.7201000000000022,261.91889999999773,8688.0,173.2338262626314,0.0,4,5,6,6,8,16,46,67,180,240,260
GET,/,42061,0,4,7.413610463374591,1.8051000000127717,382.14539999999886,8688.0,175.94552657254752,0.0,4,5,6,6,9,18,48,82,220,320,380
